domain,k_identity_dims,label,n,cv_corr,in_sample_corr
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCH_in_fmol,107,-0.03586330866075049,0.40432468709045816
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHK_in_pg,107,-0.033570575230822366,0.405665070267623
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HCT _in_l_l,107,-0.028636038100979283,0.3803187670341581
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__WBC_in_exp_9_l,107,0.021454470777093698,0.3694747645599549
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHC _in_mmol_l,107,0.017835829633586816,0.38944841731854396
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHCK_in_g_dl,107,0.01738397212438848,0.3900119578797236
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CL_in_mmol_l,108,0.01211260823866533,0.39003423429834266
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MPV_in_fl,105,-0.011484792309329531,0.387147245055139
blood_chemistry,20,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__NA_in_mmol_l,108,0.009666048142448619,0.34307794892148047
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_systole,109,0.5027147280633368,0.5369377129491447
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_systole,107,0.43787365283043517,0.47801068183279916
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_diastole,107,0.4195063491632902,0.46834400215689864
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_diastole,109,0.3934562986736672,0.4310601232402525
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_diastole,80,0.3918768511480681,0.42333985292113924
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_systole,110,0.3903749113540917,0.4337598316362208
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_diastole,110,0.3806627527832005,0.4202902209485008
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_systole,80,0.2834525532328665,0.3400321990804184
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_left,108,0.2344234875445874,0.3071562671773911
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_right,106,0.2013490683363081,0.28007382438774264
blood_pressure,3,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse2_left,109,0.08830821634718478,0.1975607711509516
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_systole,109,0.4720838281717754,0.5513910735654406
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_systole,107,0.4205363682651699,0.49817357559495706
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_diastole,110,0.39184639720978215,0.457381586205771
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_diastole,107,0.38194988540311126,0.474821765155733
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_diastole,109,0.37283326648406856,0.4593614219829946
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_systole,110,0.36374310392694165,0.45901424482908343
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_diastole,80,0.35390375501735,0.4393013988373718
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_systole,80,0.2840153095883301,0.416747695439842
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_left,108,0.19571392212345987,0.3267514802515854
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_right,106,0.1221135722237533,0.2900004239870714
blood_pressure,6,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse2_left,109,0.0825143186947709,0.2558688291402879
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_systole,109,0.4537214665938363,0.5894582566302031
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_systole,110,0.39816480921207636,0.5223426954888807
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_diastole,110,0.37561693357349885,0.49079916744254093
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_systole,107,0.3719686331345767,0.5093468840865756
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_diastole,109,0.3540952640732667,0.49267873206542845
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_diastole,80,0.33373184478834805,0.47671787405625116
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_diastole,107,0.29700761596463365,0.4864971218474322
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_systole,80,0.2664902905230411,0.46124908336773507
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_left,108,0.1585712328608019,0.36110073636251916
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_right,106,0.13923084493362714,0.3628091728620484
